ECRef,RegulatedEntityName,RegulatedEntityTypeName,RegistrationStatusName,RegisterName,EntityStatusName,ReferendumName,DesignationStatusName,CompanyRegistrationNumber,ApprovedDate,FieldingCandidatesInEngland,FieldingCandidatesInScotland,FieldingCandidatesInWales,FieldingCandidatesInEurope,FieldingCandidatesMinorParty,ReferendumOutcome,CampaigningName,FinancialYearEnd
PP210,21st Century Conservative Democrats,Political Party,Registered,Great Britain,,,,,27/11/2001,True,True,True,False,False,,,31/12
PP851,A Better Way to Govern,Political Party,Registered,Great Britain,,,,,26/03/2010,True,True,True,True,False,,,31/12
PP6673,Abolish the Scottish Parliament Party,Political Party,Registered,Great Britain,,,,,31/01/2018,False,True,False,False,False,,,31/12
PP6745,Abolish the Town Council Party,Political Party,Registered,Great Britain,,,,,29/03/2018,True,False,False,False,False,,,31/12
PP2802,Abolish The Welsh Assembly Party,Political Party,Registered,Great Britain,,,,,03/07/2015,False,False,True,False,False,,,31/12
PP654,Action To Save St.John's Hospital,Political Party,Registered,Great Britain,,,,,19/03/2007,False,True,False,False,False,,,31/12
PP6795,Active For Plymouth,Political Party,Registered,Great Britain,,,,,25/06/2018,True,False,False,False,False,,,31/12
PP12509,Active For Westhoughton,Political Party,Registered,Great Britain,,,,,02/06/2020,True,False,False,False,False,,,31/12
PP6667,Advance Together,Political Party,Registered,Great Britain,,,,,22/01/2018,True,True,True,True,False,,,31/12
PP8007,Alderley Edge First,Political Party,Registered,Great Britain,,,,,04/03/2019,True,False,False,False,False,,,31/12
PP103,Alliance - Alliance Party of Northern Ireland,Political Party,Registered,Northern Ireland,,,,,25/02/1999,False,False,False,False,False,,,31/12
PP1952,Alliance EPP (European People’s Party) UK,Political Party,Registered,Great Britain,,,,,10/10/2012,True,True,True,True,False,,,31/12
PP5260,Alliance for Europe,Political Party,Registered,Great Britain,,,,,24/08/2016,True,True,True,False,False,,,31/12
PP67,Alliance For Green Socialism,Political Party,Registered,Great Britain,,,,,25/02/1999,True,True,True,False,False,,,31/12
PP7997,Alliance For Local Living (ALL),Political Party,Registered,Great Britain,,,,,01/04/2019,True,False,False,False,False,,,31/12
PP2658,Alliance for London,Political Party,Registered,Great Britain,,,,,01/04/2015,True,False,False,False,False,,,31/12
PP334,Alternative Party,Political Party,Registered,Great Britain,,,,,21/05/2003,True,True,True,False,False,,,31/12
PP7998,Andover Alliance,Political Party,Registered,Great Britain,,,,,22/03/2019,True,False,False,False,False,,,31/12
PP9225,Andover Independents Party,Political Party,Registered,Great Britain,,,,,02/09/2019,True,False,False,False,False,,,31/12
PP4041,Animal Welfare Party,Political Party,Registered,Northern Ireland,,,,,06/04/2016,False,False,False,False,False,,,31/12
PP616,Animal Welfare Party,Political Party,Registered,Great Britain,,,,,22/01/2007,True,True,True,False,False,,,31/12
PP7968,Aontú,Political Party,Registered,Northern Ireland,,,,,25/03/2019,False,False,False,False,False,,,31/12
PP845,Apolitical Democrats,Political Party,Registered,Great Britain,,,,,22/03/2010,True,True,True,False,False,,,31/12
PP6393,Arts Party,Political Party,Registered,Great Britain,,,,,25/04/2017,True,True,True,True,False,,,31/12
PP3902,Ashfield Independents,Political Party,Registered,Great Britain,,,,,28/07/2016,True,False,False,False,False,,,31/12
PP291,Ashford Independent,Political Party,Registered,Great Britain,,,,,06/03/2003,True,False,False,False,False,,,31/12
